fleet_id,vehicle,fuel_type,fuel_liters,dist_km,mpg,year,km_per_liter,litros_teoricos,co2_kg,vehicle_cat
DX12RHY,2 AXLE BIN,D,1414.42,5898.2311,12.26,2013,4.170070488256671,1414.42,3790.6456000000003,Truck
DY62LYN,MED TIPPER,D,1328.35,10256.32382,21.81,2013,7.7211004780366626,1328.35,3559.978,Truck
DY63UGN,MED VAN,D,110.73,613.15854,30.59,2013,5.537420211324844,110.73,296.75640000000004,Van
FJ05CFK,3 AXLE BIN,D,878.39,598.0,1.92,2013,0.6807909926114823,878.39,2354.0852,Truck
FL60ADO,CAR,D,1529.31,20586.67728,38.02,2013,13.461415461874964,1529.31,4098.5508,Car
FN62HSU,MED TIPPER,D,1675.61,11654.84028,19.65,2013,6.955580522914044,1675.61,4490.6348,Truck
FN62HTP,MED TIPPER,D,2831.3,22630.53908,22.58,2013,7.992985229399921,2831.3,7587.884000000001,Truck
8529,SML SWEEPE,D,3370.17,,0.22,2013,,,9032.055600000002,Truck
GN11HGP,SMALL VAN,D,990.59,14896.05104,42.47,2013,15.037554427159572,990.59,2654.7812000000004,Van
GN11HGZ,SMALL VAN,D,1087.58,15346.66624,39.85,2013,14.110838963570497,1087.58,2914.7144,Van
GN11HHA,SMALL VAN,D,1418.65,18649.03192,37.13,2013,13.14561866563282,1418.65,3801.9820000000004,Van
GN11HHC,SMALL VAN,D,1035.59,13404.19286,36.56,2013,12.94353253700789,1035.59,2775.3812,Van
GN11HNX,SMALL VAN,D,1225.16,19740.16444,45.51,2013,16.112315485324366,1225.16,3283.4288000000006,Van
78043,MINIBUS,D,639.11,3582.39084,17.4,2013,5.6052805307380575,639.11,1712.8148,Bus
78034,MINIBUS,D,267.69,1736.47786,18.32,2013,6.4868985019985805,267.69,717.4092,Bus
GN58AFK,MINIBUS,D,455.34,2769.67414,17.18,2013,6.0826506346905616,455.34,1220.3112,Bus
GN58OZC,MINIBUS,D,654.68,4742.72498,20.46,2013,7.24434071607503,654.68,1754.5424,Bus
78060,MINIBUS,D,480.92,3637.1084,21.36,2013,7.562813773600599,480.92,1288.8656,Bus
78070,MINIBUS,D,613.68,4720.19422,21.72,2013,7.691621398774607,613.68,1644.6624,Bus
8512,SML SWEEPE,D,1856.06,3075.44874,4.68,2013,1.6569770050537158,1856.06,4974.2408000000005,Truck
8523,SML SWEEPE,D,3110.55,5137.01328,4.66,2013,1.6514806963398756,3110.55,8336.274000000001,Truck
8520,SML SWEEPE,D,2177.35,3435.9409,4.46,2013,1.5780379360231476,2177.35,5835.298,Truck
HWSMAST,MASTER,D,12099.83,,,2013,,,32427.544400000002,Van
HWHMAST,MASTER,D,6255.35,,,2013,,,16764.338000000003,Van
HG12KJV,MED TIPPER,D,1927.46,16595.51408,24.32,2013,8.61004331088583,1927.4599999999998,5165.5928,Truck
HG12KJX,MED TIPPER,D,3450.31,27104.50428,22.19,2013,7.855672180180911,3450.31,9246.8308,Truck
HG12KJY,MED TIPPER,D,2656.37,24790.27336,26.36,2013,9.332387190037533,2656.37,7119.0716,Truck
HG12KKE,MED TIPPER,D,2433.06,20958.43482,24.33,2013,8.614023008063919,2433.06,6520.6008,Truck
LIBMAST,MASTER,D,2198.94,,,2013,,,5893.1592,Van
HWSMAST1,MASTER,D,880.98,,,2013,,,2361.0264,Van
3305,LIBRARY BU,D,76.0,35.0,3.2,2013,0.4605263157894737,76.0,203.68,Bus
KM13WUA,LUTON,D,3259.54,26154.99368,22.88,2013,8.02413643642968,3259.54,8735.567200000001,Van
KM13WUE,LUTON,D,3338.66,25308.48084,21.7,2013,7.580430723703522,3338.66,8947.6088,Van
KM59YVT,LARGE VAN,D,2015.3,15626.6914,21.9,2013,7.754027390462959,2015.3,5401.004,Van
KM59ZBL,MED VAN,D,2136.6,17852.40862,23.6,2013,8.35552214733689,2136.6,5726.088,Van
KN60YKK,LARGE VAN,D,1687.51,13219.11876,22.13,2013,7.833505437004818,1687.51,4522.526800000001,Van
KN60YMZ,LARGE VAN,D,1556.07,12267.99882,22.27,2013,7.883963330698491,1556.07,4170.2676,Van
KP13GPU,LUTON,D,824.22,6350.45564,23.62,2013,7.704806532236539,824.22,2208.9096000000004,Van
KR12LHT,MED TIPPER,D,2202.61,15660.48754,20.08,2013,7.109968419284394,2202.61,5902.9948,Truck
KR12LLT,MED TIPPER,D,3836.28,24787.05468,18.25,2013,6.461221464543777,3836.28,10281.2304,Truck
KR12LOD,MED TIPPER,D,2843.55,21964.27232,21.82,2013,7.724243399975382,2843.55,7620.714000000001,Truck
KX12ZBR,LARGE VAN,D,866.85,6593.46598,23.02,2013,7.606236350002884,866.85,2323.1580000000004,Van
KX12ZFK,LARGE VAN,D,64.78,548.78494,23.93,2013,8.471518061129979,64.78,173.61040000000003,Van
KY10MWZ,MED TIPPER,D,1841.05,14981.34606,22.98,2013,8.137392281578448,1841.0499999999997,4934.014,Truck
KY10NKD,MED TIPPER,D,1957.13,17405.0121,25.12,2013,8.893130297936263,1957.13,5245.108400000001,Truck
2105,MED TIPPER,D,1454.9,8785.0,17.05,2013,6.038215684926799,1454.9,3899.1320000000005,Truck
KY59XEB,MED VAN,D,1016.04,10240.23042,28.47,2013,10.078570154718319,1016.0399999999998,2722.9872,Van
LMAST6,MASTER,D,841.67,,,2013,,,2255.6756,Van
LMAST4,MASTER,D,138.5,,,2013,,,371.18,Van
LMAST2,MASTER,D,1611.6,,,2013,,,4319.088,Van
LMAST7,MASTER,D,64.49,,,2013,,,172.8332,Van
LMAST5,MASTER,D,796.88,,,2013,,,2135.6384000000003,Van
LMAST3,MASTER,D,980.98,,,2013,,,2629.0264,Van
LMAST1,MASTER,D,1748.48,,,2013,,,4685.9264,Van
LB61OMD,CAR,D,1094.54,13544.20544,34.95,2013,12.374335739214647,1094.54,2933.3672,Car
LC10LNA,SMALL VAN,D,1715.99,15209.87234,25.03,2013,8.863613622457008,1715.99,4598.8532000000005,Van
LC10LND,SMALL VAN,D,1674.05,15496.334859999999,26.15,2013,9.256793321585377,1674.05,4486.454,Van
LC10LNF,SMALL VAN,D,1850.83,19669.35348,30.02,2013,10.627315031634458,1850.8299999999997,4960.2244,Van
LC10LNG,SMALL VAN,D,1630.52,16006.49564,27.73,2013,9.816804234232023,1630.52,4369.7936,Van
LD09BRZ,MED VAN,D,1475.69,13392.92748,25.63,2013,9.075705249747575,1475.6900000000003,3954.8492000000006,Van
LD09BSO,MED VAN,D,1459.84,14646.60334,28.34,2013,10.033019604888207,1459.84,3912.3712,Van
LD09BSU,MED VAN,D,1665.74,17150.73638,29.08,2013,10.296166496572093,1665.74,4464.1832,Van
LD09BSV,MED VAN,D,1505.56,14823.63074,27.81,2013,9.845924931586918,1505.56,4034.9008,Van
LD09CXG,MED VAN,D,1556.13,16824.04036,30.54,2013,10.811461998676203,1556.1299999999999,4170.428400000001,Van
LD58YLY,SMALL VAN,D,1338.72,13899.86958,29.33,2013,10.38295504661169,1338.72,3587.7696,Van
LD59ZMX,SMALL VAN,D,1607.86,17615.83564,30.94,2013,10.956075553841753,1607.86,4309.0648,Van
LD59ZMY,SMALL VAN,D,1880.21,21853.22786,32.83,2013,11.62275908542131,1880.2099999999998,5038.9628,Van
LD59ZMZ,SMALL VAN,D,1516.22,16848.18046,31.38,2013,11.111962947329543,1516.22,4063.4696000000004,Van
LD60RDU,SMALL VAN,D,776.33,8209.243339999999,31.28,2013,10.57442497391573,776.3299999999999,2080.5644,Van
LG59VNP,SMALL VAN,D,1784.46,17240.85942,27.29,2013,9.661667630543693,1784.4600000000003,4782.352800000001,Van
LG59VNR,SMALL VAN,D,1455.26,11720.82322,22.75,2013,8.05410938251584,1455.26,3900.0968000000003,Van
MASTER,MASTER,D,108.38,,,2013,,,290.4584,Van
4482NMS,2 AXLE BIN,D,450.99,1157.0,7.25,2013,2.5654670835273508,450.99,1208.6532000000002,Truck
SSE MASTE,MASTER,D,1407.52,43447.35198,87.18,2013,30.868017491758554,1407.52,3772.1536,Van
LR60GCV,FLATBACK,D,1224.35,10789.01536,24.89,2013,8.812035251357864,1224.35,3281.258,Truck
3324,LIBRARY BU,D,431.65,2690.81648,17.61,2013,6.233792378084096,431.65,1156.8220000000001,Bus
MAILMAST,MASTER,D,1169.0,,,2013,,,3132.92,Van
OUTOFSCHO,MASTER,D,1889.52,,,2013,,,5063.9136,Van
MASTER EN,MASTER,D,13824.06,,,2013,,,37048.4808,Van
MF11BVC,SMALL VAN,D,370.56,5679.36086,48.73,2013,15.326427191278064,370.56,993.1008,Van
MF11BVU,SMALL VAN,D,294.03,3543.76668,39.93,2013,12.05239832670136,294.03,788.0004,Van
MF11BWD,MED VAN,D,40.42,,,2013,,,108.32560000000001,Van
MF11 BXX,SMALL VAN,D,34.85,,,2013,,,93.39800000000001,Van
MF60HAD,SMALL VAN,D,291.65,3761.02758,42.23,2013,12.895688599348535,291.65,781.622,Van
MF60HBU,SMALL VAN,D,171.8,2071.22058,45.51,2013,12.055998719441211,171.8,460.42400000000004,Van
MF60HCZ,MED VAN,D,110.47,162.54334,6.4,2013,1.4713799221508101,110.47,296.0596,Van
MF60HDH,SMALL VAN,D,482.77,7567.11668,48.78,2013,15.674372226940365,482.77,1293.8236,Van
MF60HFC,SMALL VAN,D,359.51,4650.9926,41.02,2013,12.937032627743317,359.51,963.4868,Van
MF60HFE,SMALL VAN,D,390.66,6231.36448,48.48,2013,15.950863871397122,390.66,1046.9688,Van
MF60HFG,SMALL VAN,D,250.97,3318.45908,42.38,2013,13.222532892377576,250.97,672.5996,Van
MF60HFJ,SMALL VAN,D,106.26,925.3705,37.99,2013,8.708549783549783,106.26,284.77680000000004,Van
